aX,aY,aZ,gX,gY,gZ
0.863,-2.823,2.324,-1.892,110.901,-222.595
0.768,-3.316,1.845,-44.434,154.114,-95.703
0.717,-3.042,1.311,-56.458,156.25,33.752
0.701,-2.318,0.896,-45.959,127.441,99.06
0.682,-1.609,0.654,-35.4,93.445,96.008
0.637,-1.168,0.521,-46.326,67.261,51.88
0.567,-1.026,0.455,-66.589,44.434,-5.432
0.497,-1.146,0.455,-72.327,21.484,-51.27
0.406,-1.433,0.508,-53.772,-2.075,-61.462
0.287,-1.669,0.582,11.475,-25.391,-27.1
0.172,-1.66,0.646,82.458,-41.809,34.729
0.052,-1.395,0.709,107.849,-47.852,94.849
-0.09,-1.008,0.807,131.348,-49.255,133.179
-0.215,-0.622,0.92,173.096,-49.011,147.522
-0.29,-0.27,1.009,202.087,-40.771,138.916
-0.313,0.025,1.045,202.576,-20.508,107.178
-0.292,0.213,1.007,181.885,1.343,54.382
-0.245,0.239,0.932,158.081,10.62,-10.132
-0.167,0.083,0.874,126.282,7.385,-71.045
-0.074,-0.221,0.902,63.354,3.235,-111.145
0.017,-0.576,1.009,9.155,9.766,-120.85
0.102,-0.87,1.055,-14.526,22.888,-104.797
0.165,-1.049,1.004,-31.128,30.151,-75.256
0.192,-1.121,0.931,-37.781,27.1,-41.016
0.201,-1.096,0.882,-42.053,17.883,-7.507
0.192,-0.987,0.889,-58.044,9.338,21.851
0.163,-0.812,0.933,-62.439,5.798,43.152
0.127,-0.61,0.956,-58.044,7.568,50.781
0.095,-0.444,0.951,-50.293,9.827,44.434
0.082,-0.349,0.933,-31.189,10.254,29.724
0.07,-0.323,0.915,-11.292,6.287,13.55
0.066,-0.336,0.92,4.944,1.709,0.244
0.084,-0.362,0.93,8.24,4.272,-9.399
0.106,-0.393,0.901,4.395,10.01,-15.076
0.123,-0.429,0.846,4.395,10.742,-17.029
0.139,-0.46,0.817,5.554,7.141,-15.625
0.152,-0.48,0.821,4.822,4.822,-12.573
0.59,0.184,1.965,-94.788,-2.991,-27.649
0.638,0.186,2.049,-114.807,-8.545,-18.005
0.667,0.21,2.092,-133.057,-15.991,-6.531
