aX,aY,aZ,gX,gY,gZ
-0.95,-1.577,-2.364,5.188,-10.132,-83.252
-0.921,-1.69,-2.08,6.531,-97.9,-121.521
-0.858,-1.832,-1.615,6.47,-121.216,-147.949
-0.847,-2.122,-1.475,5.737,-103.027,-152.466
-0.751,-2.441,-1.592,3.113,-92.224,-128.113
-0.502,-2.66,-1.562,2.319,-94.238,-82.458
-0.12,-2.778,-1.302,4.883,-79.041,-30.884
0.308,-2.784,-1.019,0.366,-39.917,22.217
0.702,-2.67,-0.836,-1.16,4.15,66.65
1.053,-2.544,-0.746,3.052,42.48,96.436
1.35,-2.423,-0.709,-1.587,69.153,118.652
1.542,-2.157,-0.612,5.249,83.435,127.686
1.569,-1.816,-0.545,34.241,97.9,98.022
1.435,-1.606,-0.645,31.799,100.525,53.528
1.19,-1.473,-0.808,19.958,78.064,8.606
0.897,-1.412,-0.895,11.047,38.574,-43.64
0.615,-1.441,-0.834,6.104,5.737,-82.458
0.364,-1.504,-0.672,-0.854,-10.498,-105.347
0.159,-1.579,-0.455,-17.151,-9.644,-107.056
0.024,-1.589,-0.197,-30.518,8.179,-95.459
-0.057,-1.541,0.027,-32.349,39.185,-80.627
-0.119,-1.474,0.154,-23.437,69.58,-65.308
-0.172,-1.389,0.227,-10.193,92.285,-52.612
-0.215,-1.297,0.285,6.47,110.046,-45.288
-0.238,-1.209,0.308,22.888,122.803,-41.748
-0.249,-1.133,0.296,39.551,126.648,-41.016
-0.251,-1.05,0.286,54.077,122.437,-41.748
-0.233,-0.947,0.326,61.34,118.286,-44.739
-0.209,-0.845,0.394,64.026,122.498,-49.072
-0.198,-0.748,0.436,62.805,134.827,-52.368
-0.204,-0.655,0.436,62.317,148.254,-55.847
-0.216,-0.578,0.43,63.843,158.997,-60.547
-0.238,-0.518,0.445,66.406,168.701,-66.833
-0.288,-0.499,0.443,71.96,177.795,-73.059
-0.356,-0.526,0.395,79.59,180.054,-75.317
-0.415,-0.547,0.358,83.008,171.387,-72.876
-0.436,-0.53,0.407,91.125,154.968,-71.533
-0.432,-0.5,0.564,91.064,146.179,-73.059
-0.432,-0.467,0.71,95.337,154.48,-76.965
-0.439,-0.437,0.728,86.609,173.035,-81.482
-0.45,-0.417,0.626,105.225,180.786,-86.914
-0.476,-0.414,0.506,100.464,182.434,-85.266
-0.465,-0.348,0.434,88.867,186.829,-80.078
-0.419,-0.254,0.369,81.787,188.599,-93.262
-0.398,-0.253,0.37,72.693,179.565,-109.802
-0.408,-0.301,0.474,66.895,170.105,-121.826
-0.456,-0.373,0.608,64.697,161.804,-136.414
-0.533,-0.481,0.762,65.674,148.437,-145.386
-0.615,-0.577,0.936,71.472,140.015,-139.465
-0.71,-0.612,1.027,68.665,142.151,-125.977
-0.782,-0.571,0.982,69.946,140.991,-107.056
-0.771,-0.465,0.883,76.782,132.202,-92.712
-0.721,-0.406,0.808,80.322,128.296,-86.792
-0.664,-0.428,0.705,73.12,131.042,-80.75
-0.607,-0.447,0.593,62.988,127.441,-76.294
-0.558,-0.465,0.604,49.866,115.845,-72.632
-0.516,-0.467,0.78,31.372,111.45,-67.322
-0.491,-0.424,1.008,21.24,123.901,-63.416
-0.538,-0.41,1.116,22.888,147.461,-63.416
-0.661,-0.432,1.029,33.203,153.381,-59.509
-0.735,-0.388,0.912,39.673,130.066,-45.471
