aX,aY,aZ,gX,gY,gZ
-1.163,-0.413,0.094,-66.65,15.808,-148.499
-1.072,-0.373,0.025,-36.621,15.381,-132.446
-0.999,-0.306,-0.066,-14.038,14.587,-122.07
-0.94,-0.271,-0.175,3.174,8.728,-115.417
-0.884,-0.283,-0.266,21.79,-6.287,-111.816
-0.842,-0.327,-0.302,38.208,-26.611,-103.699
-0.801,-0.325,-0.291,40.527,-46.631,-85.876
-0.738,-0.251,-0.308,33.02,-60.913,-66.65
-0.656,-0.144,-0.321,20.569,-79.773,-56.885
-0.56,-0.037,-0.235,36.682,-87.341,-67.566
-0.506,-0.029,-0.128,40.222,-71.533,-86.426
-0.481,-0.116,-0.086,24.658,-50.964,-94.91
-0.436,-0.197,-0.076,-2.014,-33.264,-91.248
-0.378,-0.262,-0.067,-22.461,-16.724,-84.229
-0.311,-0.326,-0.083,-33.447,-4.883,-78.369
-0.239,-0.372,-0.132,-39.551,2.869,-73.975
-0.183,-0.399,-0.204,-49.866,5.981,-68.909
-0.168,-0.415,-0.287,-59.204,-1.404,-58.533
-0.176,-0.396,-0.333,-70.74,-19.836,-39.124
-0.181,-0.34,-0.312,-81.604,-41.504,-18.616
-0.177,-0.28,-0.218,-91.309,-62.073,-4.944
-0.19,-0.211,-0.047,-92.957,-70.679,-2.563
-0.207,-0.173,0.135,-76.477,-64.392,-8.545
-0.198,-0.186,0.204,-54.443,-46.448,-8.911
-0.174,-0.225,0.139,-48.401,-28.992,-5.92
-0.133,-0.314,0.025,-50.293,-25.33,-7.996
-0.108,-0.442,-0.01,-57.678,-38.513,-8.545
-0.083,-0.542,0.093,-60.852,-53.772,-4.822
-0.091,-0.609,0.267,-53.162,-51.208,7.996
-0.172,-0.604,0.415,-39.49,-31.494,37.109
-0.237,-0.469,0.441,-18.555,-4.15,68.848
-0.271,-0.292,0.325,2.686,24.353,85.449
-0.294,-0.166,0.12,18.25,36.682,87.219
-0.313,-0.095,-0.063,20.874,27.893,82.886
-0.335,-0.051,-0.109,12.268,-3.235,72.632
-0.336,-0.046,0.006,-4.517,-40.771,52.979
-0.329,-0.114,0.25,-39.368,-58.533,27.771
-0.321,-0.244,0.52,-65.491,-44.556,4.333
-0.294,-0.392,0.618,-85.327,-7.141,3.784
-0.287,-0.397,0.564,-93.262,29.053,17.517
-0.263,-0.29,0.462,-78.125,61.157,5.981
-0.24,-0.319,0.187,-61.035,82.703,4.944
-0.243,-0.351,-0.132,-45.776,59.387,30.09
-0.219,-0.201,-0.197,-16.113,26.978,45.715
-0.207,-0.032,-0.127,-1.831,14.587,27.161
-0.224,-0.051,-0.106,9.521,-5.432,-10.62
-0.236,-0.242,-0.037,13.733,-28.076,-31.738
-0.238,-0.42,0.095,8.301,-29.907,-30.09
-0.249,-0.491,0.155,3.662,-21.606,-22.095
-0.25,-0.476,0.12,5.371,-21.301,-14.893
-0.233,-0.427,0.062,15.198,-29.785,-13.672
-0.23,-0.404,0.036,27.588,-38.635,-13.672
-0.236,-0.395,0.046,36.804,-45.349,-7.263
-0.227,-0.377,0.095,50.537,-46.509,0.977
-0.231,-0.365,0.145,57.19,-31.433,17.029
-0.254,-0.326,0.126,46.509,-15.686,36.072
-0.276,-0.249,0.058,42.419,-14.832,44.556
-0.305,-0.192,0.017,44.373,-23.193,42.053
-0.338,-0.174,0.02,43.64,-31.067,36.926
-0.359,-0.176,0.039,38.574,-33.752,33.936
-0.37,-0.185,0.081,30.701,-34.485,34.424
-0.386,-0.2,0.149,25.33,-37.72,38.513
-0.382,-0.223,0.232,28.015,-42.542,44.006
-0.419,-0.246,0.314,47.485,-42.603,51.514
-0.542,-0.209,0.337,76.05,-31.128,69.031
-0.655,-0.079,0.243,85.266,-6.47,84.778
-0.706,0.056,0.064,80.627,10.437,80.139
-0.705,0.1,-0.104,80.933,7.69,58.655
-0.664,0.025,-0.167,73.303,-6.775,35.889
-0.614,-0.155,-0.108,57.922,-21.973,22.217
-0.585,-0.37,0.039,43.335,-29.724,20.996
-0.605,-0.547,0.205,41.321,-26.978,33.875
-0.694,-0.636,0.292,42.969,-13.062,59.021
-0.759,-0.626,0.281,35.889,4.944,86.487
-0.781,-0.533,0.237,22.095,17.517,109.009
-0.812,-0.36,0.209,6.104,23.926,129.333
-0.812,-0.135,0.182,-6.958,28.809,140.991
-0.799,0.085,0.159,-13.611,33.142,140.015
-0.8,0.235,0.132,-7.446,36.255,130.859
-0.802,0.282,0.084,3.174,40.222,119.385
-0.825,0.28,-0.002,14.648,45.471,111.877
-0.869,0.297,-0.138,14.343,49.866,109.741
-0.899,0.298,-0.277,14.709,43.823,100.769
-0.925,0.194,-0.33,24.292,20.142,85.693
-0.958,-0.011,-0.207,28.687,-10.559,79.529
-0.982,-0.17,0.043,29.297,-26.611,93.567
-1.008,-0.15,0.254,27.283,-22.339,121.46
-1.079,0.064,0.358,18.616,-10.925,146.606
-1.176,0.412,0.38,3.723,0.305,157.532
-1.251,0.789,0.34,-19.958,17.212,148.865
-1.286,1.032,0.233,-17.517,37.415,114.014
-1.33,1.022,0.078,16.052,44.312,66.772
-1.4,0.759,-0.011,51.819,25.879,22.583
-1.447,0.344,0.043,99.243,-6.653,-1.892
-1.499,-0.045,0.197,136.597,-32.593,5.066
-1.633,-0.232,0.436,141.296,-51.697,41.565
-1.778,-0.093,0.73,117.371,-51.819,88.074
-1.843,0.315,0.952,88.318,-14.771,112.183
-1.851,0.724,0.956,63.904,41.199,94.91
-1.848,0.868,0.736,59.387,85.449,53.528
-1.845,0.716,0.437,77.026,101.196,16.052
-1.837,0.438,0.217,88.135,95.581,-4.089
-1.819,0.182,0.112,82.581,88.501,-6.958
-1.811,0.022,0.048,65.369,82.886,2.502
-1.826,-0.046,0.006,40.771,71.899,15.991
-2.225,0.357,0.031,-2.258,37.476,-24.048
-2.272,0.353,-0.057,4.944,27.954,-45.105
-2.282,0.307,-0.103,5.066,15.015,-57.434
-2.258,0.282,-0.092,0.671,0.244,-69.641
-2.212,0.229,-0.035,-3.601,-12.085,-82.825
-2.15,0.12,0.035,-4.822,-20.813,-93.567
-2.067,-0.027,0.102,-10.254,-25.024,-98.083
-1.97,-0.179,0.161,-11.841,-25.391,-96.252
-1.863,-0.298,0.174,-16.785,-20.63,-87.463
-1.749,-0.363,0.125,-27.832,-15.625,-73.547
-1.636,-0.373,0.059,-41.26,-15.747,-57.678
-1.529,-0.332,0.009,-47.852,-21.057,-41.931
-1.428,-0.249,-0.028,-56.702,-27.039,-28.259
-1.333,-0.139,-0.048,-68.298,-32.349,-18.25
-1.243,-0.023,-0.053,-85.632,-35.706,-11.78
-1.15,0.06,-0.078,-100.647,-35.522,-10.01
-1.063,0.105,-0.138,-98.877,-38.757,-8.972
-0.994,0.178,-0.188,-81.543,-51.392,-7.08
-0.939,0.31,-0.188,-63.11,-69.458,-10.254
-0.888,0.407,-0.119,-57.739,-83.923,-22.034
-0.821,0.414,-0.021,-55.847,-83.191,-37.17
-0.77,0.365,0.053,-52.002,-71.045,-50.11
-0.731,0.322,0.097,-36.255,-57.678,-54.321
-0.661,0.327,0.096,-17.517,-43.213,-55.603
-0.593,0.343,0.028,4.517,-25.085,-61.951
-0.549,0.336,-0.109,14.038,-8.911,-76.172
-0.508,0.302,-0.265,10.437,-6.958,-91.37
-0.458,0.245,-0.353,-8.057,-17.578,-105.835
-0.414,0.16,-0.332,-25.818,-30.518,-121.582
-0.379,0.036,-0.236,-34.424,-39.673,-133.301
-0.357,-0.118,-0.109,-27.222,-46.021,-136.536
-0.338,-0.297,0.035,-13,-51.636,-132.202
-0.327,-0.471,0.17,5.798,-51.514,-117.31
-0.335,-0.556,0.246,0.977,-39.673,-87.524
-0.33,-0.489,0.24,-28.259,-18.433,-50.659
-0.304,-0.292,0.171,-58.35,0.061,-22.644
-0.268,-0.059,0.083,-73.486,11.475,-12.451
-0.231,0.108,0.004,-72.144,14.587,-18.616
-0.192,0.175,-0.046,-62.561,8.423,-34.729
-0.151,0.152,-0.061,-41.687,-7.507,-56.641
-0.11,0.073,-0.03,-28.32,-27.588,-77.576
-0.059,-0.035,0.055,-24.17,-40.039,-91.553
-0.009,-0.155,0.167,-16.479,-45.532,-96.375
0.014,-0.276,0.293,-5.554,-46.265,-90.454
0.02,-0.375,0.424,-1.526,-36.56,-72.083
0.018,-0.423,0.509,4.822,-15.32,-46.753
0.01,-0.394,0.506,11.963,8.423,-21.545
0.007,-0.302,0.422,14.343,26.062,-2.197
0.003,-0.201,0.3,13.123,33.569,10.681
-0.009,-0.122,0.176,19.348,27.954,19.226
0.003,-0.054,0.057,34.241,8.484,20.569
0.033,-0.012,-0.016,41.992,-17.639,14.526
0.064,-0.017,-0.002,41.26,-42.908,3.113
0.114,-0.014,0.127,35.095,-55.786,-16.968
0.13,-0.077,0.323,21.057,-38.391,-47.546
0.083,-0.266,0.409,15.686,-12.207,-52.551
0.048,-0.372,0.347,14.954,-2.747,-34.79
0.074,-0.344,0.327,8.301,-1.221,-21.057
0.093,-0.313,0.371,13.855,20.325,-14.771
0.074,-0.301,0.327,18.982,44.922,-9.277
0.068,-0.278,0.197,23.254,54.016,-2.563
0.068,-0.234,0.061,25.269,46.692,-0.183
0.061,-0.191,-0.03,17.578,32.043,-2.441
0.041,-0.172,-0.061,13.489,17.822,-6.836
0.004,-0.167,-0.076,15.869,6.653,-8.301
-0.046,-0.152,-0.103,14.16,-2.502,-4.761
-0.102,-0.131,-0.122,13.306,-12.329,-1.282
-0.179,-0.069,-0.129,24.719,-23.926,5.188
-0.235,0.053,-0.114,24.78,-32.898,10.803
-0.243,0.12,-0.056,26.489,-36.438,3.052
-0.251,0.052,0.019,47.913,-36.316,-10.254
