aX,aY,aZ,gX,gY,gZ
0.083,-0.04,0.721,20.264,35.645,64.88
0.072,0.172,0.909,18.616,21.545,74.28
0.037,0.458,1.147,16.846,25.024,69.946
-0.01,0.707,1.244,23.865,39.673,60.486
-0.083,0.898,1.198,15.32,53.284,41.138
-0.196,0.906,1.131,-9.827,56.824,11.108
-0.297,0.647,1.124,-36.743,43.945,-15.32
-0.398,0.294,1.212,-65.369,29.785,-22.095
-0.479,0.048,1.34,-76.965,24.109,-17.761
-0.529,-0.101,1.443,-70.19,22.339,-17.334
-0.604,-0.203,1.495,-51.941,28.198,-20.569
-0.693,-0.231,1.472,-43.579,36.316,-22.095
-0.775,-0.191,1.469,-40.527,33.142,-22.827
-0.858,-0.132,1.6,-38.33,29.541,-22.339
-0.935,-0.097,1.818,-48.523,43.823,-15.686
-1.001,-0.054,2.01,-76.965,75.623,2.441
-1.155,0.042,2.111,-114.624,127.747,29.114
-1.525,0.279,1.856,-130.554,217.712,67.627
-1.979,0.754,0.916,-107.056,326.111,100.891
-2.342,1.279,-0.596,-36.865,374.573,84.29
-2.595,1.558,-2.087,38.208,302.307,18.005
-2.542,1.549,-2.765,73.303,121.887,-63.66
-2.051,1.133,-2.26,100.098,-82.642,-146.423
-1.265,0.363,-0.889,122.559,-228.577,-192.139
-0.425,-0.348,0.627,128.113,-275.024,-186.035
0.194,-0.762,1.787,77.942,-230.835,-138.184
0.522,-0.827,2.442,39.917,-140.259,-76.111
0.628,-0.65,2.555,20.569,-45.288,-28.442
0.556,-0.43,2.238,13.245,30.457,-10.62
0.371,-0.311,1.696,7.507,68.359,-10.132
0.173,-0.304,1.216,5.798,66.406,-14.771
0.024,-0.367,0.988,10.254,44.861,-19.897
-0.083,-0.451,0.99,17.578,27.1,-15.686
-0.159,-0.443,1.071,14.954,23.437,0.488
-0.236,-0.33,1.056,18.616,30.09,17.029
-0.302,-0.154,0.938,6.592,32.776,31.616
-0.346,0.03,0.822,-11.963,32.776,25.818
-0.4,0.08,0.729,-3.54,20.813,15.93
-0.433,0.071,0.691,15.198,6.775,18.433
-0.425,0.109,0.708,23.621,-1.648,18.799
-0.397,0.141,0.754,25.635,-5.859,14.893
-0.353,0.149,0.794,21.79,-6.226,12.329
-0.298,0.155,0.811,14.954,-9.155,12.085
-0.238,0.151,0.833,6.104,-16.113,9.644
